year,section,field,label,raw_preview
2023-2024,D,D12,. Lowest Grade Allowable for Transfer Credit,D12. Lowest Grade Allowable for Transfer Credit Report the lowest grade earned for any course that may be transferred for credit: Lowest grade:
2023-2024,D,D13,. Maximum Credits Transferred to two-year institutions,D13. Maximum Credits Transferred to two-year institutions Report the maximum number of credits or courses that may be transferred from a two-year institution: Number: 64.0 Unit Type: Credit(s)
2023-2024,D,D14,. Maximum Credits Transferred to four-year institutions,D14. Maximum Credits Transferred to four-year institutions Report the maximum number of credits or courses that may be transferred from a four-year institution: Number: 64.0 Unit Type: Credit(s)
2023-2024,D,D15,. Minimum Credits to Earn Associate Degree,D15. Minimum Credits to Earn Associate Degree Report the minimum number of credits that transfer students must complete at your institution to earn an associate degree: Number: N/A
2023-2024,D,D16,. Minimum Credits to Earn Bachelor's Degree,D16. Minimum Credits to Earn Bachelor's Degree Report the minimum number of credits that transfer students must complete at your institution to earn a bachelor's degree: Number: 64.0
2023-2024,D,D17,: Other Credit Policies,D17: Other Credit Policies Please describe any other transfer credit policies: https://www.nyu.edu/admissions/undergrad uate-admissions/how-to-apply/transfer- applicants.html
2023-2024,D,D18,: Military/Veteran Transfer Credits,D18: Military/Veteran Transfer Credits Does your institution accept the following military/veteran transfer credits: (select all that apply) American Council on Education (ACE) DANTES Subject Standardized Tests (DSST) College Level Examination Program (CLEP)
2023-2024,D,D19,: Maximum Credits Transferred - ACE,D19: Maximum Credits Transferred - ACE Report the maximum number of credits or courses that may be transferred based on military education evaluated by the American Council on Education (ACE): Number: Unit Type:
2023-2024,D,D20,": Maximum Credits Transferred - CLEP, DSST","D20: Maximum Credits Transferred - CLEP, DSST Report the maximum number of credits or courses that may be transferred based on Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): Number: Unit Type: 23 of 4"
2023-2024,D,D22,: Unique Transfer Policies,D22: Unique Transfer Policies Please describe other military/veteran transfer credit policies unique to your institution: END OF SECTION D 24 of 42 CDS-D CDS_2023_2024_Public_Final.xlsx
2023-2024,E,E1,. Special study options,E1. Special study options Please identify the programs available at your institution. Refer to the glossary for definitions. Select all that apply. Accelerated program Honors program Comprehensive transition and postsecondary program for students with intellectual disabilities Independent study Cros
2023-2024,E,E2,. Removed from the CDS.,E2. Removed from the CDS.
2023-2024,E,E3,. Required Coursework for Graduation,"E3. Required Coursework for Graduation Please indicate the areas in which all, or most, students are required to complete some course work prior to graduation: Select all that apply. Arts / fine arts Intensive Writing Computer literacy Mathematics English (including composition) Philosophy Foreign l"
2023-2024,F,F1,". First-time, first-year degree-seeking students and undergraduates enrolled","F1. First-time, first-year degree-seeking students and undergraduates enrolled Please complete the table below with the percentages or average age of first-time, first-year degree-seeking students and degree- seeking undergraduates enrolled in Fall 2023 who fit into the following categories: First-t"
2023-2024,F,F2,. Activities Offered,F2. Activities Offered Please identify all programs available at your institution. Campus Ministries Literary magazine Student government Choral groups Marching band Student newspaper Concert band Model UN Student-run film society Dance Music ensembles Symphony orchestra Drama/theater Opera Televisi
2023-2024,F,F3,. ROTC (program offered in cooperation with Reserve Officers' Training Corps) select all that apply.,"F3. ROTC (program offered in cooperation with Reserve Officers' Training Corps) select all that apply. Army ROTC is offered: On Campus At cooperating institution If at cooperating institution, please list institution below: Fordham University 27 of 42 CDS-F CDS_2023_2024_Public_Final.xlsx Naval ROTC"
2023-2024,F,F4,. Housing,"F4. Housing Please check all types of college-owned, -operated, or -affiliated housing available for undergraduates at your institution. Apartments for married students Men's residence halls Apartments for single students Special housing for international students Coed residence halls Special housin"
2023-2024,G,G0,. Net Price Calculator URL,"G0. Net Price Calculator URL Please provide the URL of your instititution's net price calculator: https://www.nyu.edu/admissions/financial- aid and scholarships/applying and planning For the following sections, please provide 2023-2024 academic year costs of attendance for the following categories t"
2023-2024,G,G1,". Undergraduate, full-time tuition, required fees, food and housing","G1. Undergraduate, full-time tuition, required fees, food and housing List the typical tuition, required fees, and food and housing for a full-time undergraduate student for the FULL 2023-2024 academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multip"
2023-2024,G,G2,. Credits Per Term,G2. Credits Per Term Please enter the number of credits per term a student can take for the stated full-time tuition: Minimum number of credits: 12.0 Maximum number of credits: 16.0
2023-2024,G,G3,. Tuition and Fee Variance by Year of Study,"G3. Tuition and Fee Variance by Year of Study Do tuition and fees vary by year of study (e.g. sophomore, junior, senior)?"
2023-2024,G,G4,. Tuition and Fee Variance by Undergraduate Instructional Program,"G4. Tuition and Fee Variance by Undergraduate Instructional Program Do tuition and fees vary by undergraduate instructional program? Yes If yes, what percent of full-time undergraduates pay more than the tuition and fees reported in G1?"
2023-2024,G,G5,. Estimated Expenses for Typical Full-Time Undergraduates,"G5. Estimated Expenses for Typical Full-Time Undergraduates Please provide estimated expenses for a typical full-time undergraduate student: Commuters Commuters Residents (living at home) (not living at home) Books and supplies: $1,442.00 $1,442.00 $1,442.00 Housing only: $17,080.00 Food only: $6,45"
2023-2024,G,G6,. Undergraduate Per-Credit-Hour Charges (tuition only),"G6. Undergraduate Per-Credit-Hour Charges (tuition only) Please enter the undergraduate per-credit-hour charges (tuition only) in the applicable institution type and segment of students: PRIVATE INSTITUTIONS Per-credit-hour charge (tuition only): $1,916.00 PUBLIC INSTITUTIONS 30 of 42 CDS-G CDS_2023"
2023-2024,H,H1,. Aid Awarded to Enrolled Undergraduates,"H1. Aid Awarded to Enrolled Undergraduates Enter total dollar amounts awarded to enrolled full-time and less than full-time degree-seeking undergraduates (using the same cohort reported in CDS Question B1, “total degree-seeking” undergraduates) in the following categories. ✔️If the data being report"
2023-2024,H,H2,. Number of Enrolled Students Awarded Aid,H2. Number of Enrolled Students Awarded Aid List the number of degree-seeking full-time and less-than-full-time undergraduates who applied for and were awarded financial aid from any source. ✔️Aid that is non-need-based but that was used to meet need should be counted as need-based aid. ✔️Numbers sh
2023-2024,H,H2A,. Number of Enrolled Students Awarded Non-Need-Based Scholarships and Grants,H2A. Number of Enrolled Students Awarded Non-Need-Based Scholarships and Grants List the number of degree-seeking full-time and less-than-full-time undergraduates who had no financial need and who were awarded institutional non-need-based scholarship or grant aid. ✔️ Numbers should reflect the cohor
2023-2024,H,H4,. 2023 Undergraduate Class,"H4. 2023 Undergraduate Class Provide the number of students in the 2023 undergraduate class who started at your institution as first-time students and received a bachelor's degree between July 1, 2022 and June 30, 2023. 5,959 Exclude students who transferred into your institution."
2023-2024,H,H5,. Number/Percent Borrowers and Average Borrowed Amount,"H5. Number/Percent Borrowers and Average Borrowed Amount Provide the number and percent of students in class (defined in H4 above) borrowing from federal, non-federal, and any loan sources, and the average (or mean) amount borrowed in the table below. The ""average per-undergraduate-borrower cumulati"
2023-2024,H,H6,. Aid to Undergraduate Degree-Seeking Nonresidents,H6. Aid to Undergraduate Degree-Seeking Nonresidents Report numbers and dollar amounts for the same academic year as checked in item H1.
2023-2024,H,H7,. Process for Nonresident First-Year Students,H7. Process for Nonresident First-Year Students Select all financial aid forms that nonresident first-year financial aid applicants must submit: 36 of 42 CDS-H CDS_2023_2024_Public_Final.xlsx Institution's own financial aid form CSS Profile Other; please specify. Other:
2023-2024,H,H8,. Process for First-Year Students,H8. Process for First-Year Students Select all financial aid forms domestic first-year financial aid applicants must submit: FAFSA State aid form Institution's own financial aid form Business/Farm Supplement CSS Profile Other; please enter below. Other:
2023-2024,H,H9,. Filing Dates for First-Year Students,"H9. Filing Dates for First-Year Students Does institution have a deadline for filing required financial aid forms for first-year students? Yes Select ""no"" if there is no deadline and applications are processed on a rolling basis. Priority date for filing required financial aid forms: (MM/DD) Deadlin"
2023-2024,H,H10,. Notification Dates for First-Year Students,H10. Notification Dates for First-Year Students Please enter the date for only one response below based on whether students are notified on a certain date or notified on a rolling basis. Students are notificed on or about (date): (MM/DD) 4/15 Students are notified on a rolling basis starting (date):
2023-2024,H,H11,. Reply Dates for First-Year Students,H11. Reply Dates for First-Year Students Students must reply by (date): (MM/DD) or within (number) of weeks of notification:
2023-2024,H,H12,. Types of Aid Available - Loans,H12. Types of Aid Available - Loans Please select all types of aid available to undergraduates at your institution: Direct Subsidized Stafford Loans Federal Nursing Loans Direct Unsubsidized Stafford Loans State Loans Direct PLUS Loans College/University loans from institutional funds Federal Perkin
2023-2024,H,H13,. Types of Aid Available - Need-Based Scholarships and Grants,H13. Types of Aid Available - Need-Based Scholarships and Grants Please select all types of aid available to undergraduates at your institution: Federal Pell College/University scholarship or grant aid from institutional funds SEOG United Negro College Fund State scholarship/grants Federal Nursing S
2023-2024,H,H14,. Criteria Used in Awarding Institutional Aid,H14. Criteria Used in Awarding Institutional Aid Please select all criteria used in awarding need-based institutional aid: Academics Job skills Music/drama Alumni affiliation ROTC Religious affiliation Art Leadership State/district residency Athletics Minority status
2023-2024,H,H15,. Affordable Policies,"H15. Affordable Policies If your institution has recently implemented any major financial aid policy, program, or iniative to make your institution more affordable to incoming students such as replacing loans with grants, or waiving costs for families below a certain income level, please provide the"
2023-2024,I,I1,. Instructional Faculty by Category,I1. Instructional Faculty by Category Please report the number of instructional faculty members in each category for Fall 2023. Include faculty who are on your institution’s payroll on the census date your institution uses for IPEDS/AAUP. The following definition of full-time instructional faculty i
2023-2024,I,I2,. Student to Faculty Ratio,"I2. Student to Faculty Ratio Report the Fall 2023 ratio of full-time equivalent students (full-time plus 1/3 part time) to full-time equivalent instructional faculty (full time plus 1/3 part time). In the ratio calculations, exclude both faculty and students in stand-alone graduate or professional p"
2019-2020,A,A0,Respondent Information (Not for Publication),"A0 Respondent Information (Not for Publication) A0 Name: A0 Title: A0 Office: Office of Institutional Research and Data Integrity A0 Mailing Address: 3 Washington Square Village, 1M A0 City/State/Zip/Country: New York, NY 10012 A0 Phone: A0 Fax: A0 E-mail Address: A0 Are your responses to the CDS po"
2019-2020,A,A0A,We invite you to indicate if there are items on the CDS for which you cannot use the requested,"A0A We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic convention, cannot provide data for the cohort requested, whose methodology is unclear, or about which you have questions or comments in general. This information will not be published but wil"
2019-2020,A,A1,Address Information,"A1 Address Information A1 Name of College/University: New York University A1 Mailing Address: 70 Washington Square South A1 City/State/Zip/Country: New York, NY 10012 USA A1 Street Address (if different): A1 City/State/Zip/Country: A1 Main Phone Number: 212-998-1212 A1 WWW Home Page Address: www.nyu"
2019-2020,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): A2 Public A2 Private (nonprofit) x A2 Proprietary
2019-2020,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: A3 Coeducational college x A3 Men's college A3 Women's college
2019-2020,A,A4,Academic year calendar:,A4 Academic year calendar: A4 Semester x A4 Quarter A4 Trimester A4 4-1-4 A4 Continuous A4 Differs by program (describe): A4 Other (describe): CDS-A Page 1
2019-2020,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: A5 Certificate x A5 Diploma x A5 Associate x A5 Transfer Associate x A5 Terminal Associate x A5 Bachelor's x A5 Postbachelor's certificate x A5 Master's x A5 Post-master's certificate x A5 Doctoral degree x research/scholarship A5 Doctoral degree – x professio
2019-2020,B,B1,Institutional Enrollment - Men and Women Provide numbers of students for each of the following,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2019. Note: Report students formerly designated as “first professional” in the graduate cells. Please see: https://nc"
2019-2020,B,B2,Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2019. Include international students only in the category ""Nonresident aliens."" Complete the ""Total Underg"
2019-2020,B,B3,"Number of degrees awarded from July 1, 2018 to June 30, 2019","B3 Number of degrees awarded from July 1, 2018 to June 30, 2019 B3 Certificate/diploma 0 B3 Associate degrees 83 B3 Bachelor's degrees 6154 B3 Postbachelor's certificates 28 B3 Master's degrees 9492 B3 Post-Master's certificates 167 B3 Doctoral degrees – research/scholarship 430 B3 Doctoral degrees "
2019-2020,B,B4,,"B4 For B- Of the initial 2013 cohort, how many did not persist and did not graduate for the following mer reasons: deceased, permanently disabled, ly armed forces, foreign aid service of the federal 2 1 9 12 government, or official church missions; total B4 For B- Of the initial 2012 cohort, how man"
2019-2020,B,B5,allowable exclusions,"B5 allowable exclusions For mer C- Final 2013 cohort, after adjusting for ly allowable exclusions 1216 1080 3214 5510 B5 allowable exclusions For mer C- Final 2012 cohort, after adjusting for ly allowable exclusions 1209 1262 3058 5529"
2019-2020,B,B6,,"B6 For mer D - Of the initial 2013 cohort, how many ly completed the program in four years or 879 848 2481 4208 less (by Aug. 31, 2017) B6 For mer D - Of the initial 2012 cohort, how many ly completed the program in four years or 885 985 2360 4230 less (by Aug. 31, 2016)"
2019-2020,B,B7,,"B7 For mer E - Of the initial 2013 cohort, how many completed the program in more than four 83 73 223 379 ly years but in five years or less (after Aug. B7 For E - Of the initial 2012 cohort, how many mer completed the program in more than four ly years but in five years or less (after Aug. 108 74 1"
2019-2020,B,B8,"31, 2017 and by Aug. 31, 2018)","B8 31, 2017 and by Aug. 31, 2018) For mer F - Of the initial 2013 cohort, how many ly completed the program in more than five 15 8 81 104 years but in six years or less (after Aug. B8 31, 2016 and by Aug. 31, 2017) For mer F - Of the initial 2012 cohort, how many ly completed the program in more tha"
2019-2020,B,B9,"31, 2018 and by Aug. 31, 2019)","B9 31, 2018 and by Aug. 31, 2019) For mer G - Total graduating within six years (sum ly of lines D, E, and F) 977 929 2785 4691 B9 31, 2017 and by Aug. 31, 2018) For mer G - Total graduating within six years (sum ly of lines D, E, and F) 1014 1074 2626 4714"
2019-2020,B,B10,,B10 For mer H - Six-year graduation rate for 2013 ly cohort (G divided by C) 0.803453947 0.860185185 0.866521469 0.851361162 B10 For mer H - Six-year graduation rate for 2012 ly cohort (G divided by C) 0.84 0.85 0.86 0.85
2019-2020,B,B11,,B11 CDS-B Page 4 Fall 2012 Cohort Recipients of a Students who Subsidized did not receive Recipients of Total (sum of 3 Stafford Loan either a Pell a Federal Pell columns to the who did not Grant or a Grant left) receive a Pell subsidized Grant Stafford Loan For mer A- Initital 2012 cohort of first-
2019-2020,B,B12,"Initial 2016 cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial 2016 cohort, total of first-time, full-time degree/certificate-seeking students: B12 Initial 2015 cohort, total of first-time, full-time degree/certificate-seeking students:"
2019-2020,B,B13,"Of the initial 2016 cohort, how many did not persist and did not graduate for the","B13 Of the initial 2016 cohort, how many did not persist and did not graduate for the following reasons: death, permanent disability, service in the armed forces, foreign aid service of the federal government, or official church missions; total allowable exclusions: B13 Of the initial 2015 cohort, h"
2019-2020,B,B14,"Final 2016 cohort, after adjusting for allowable exclusions (Subtract question B13 from","B14 Final 2016 cohort, after adjusting for allowable exclusions (Subtract question B13 from question B12): 0 B14 Final 2015 cohort, after adjusting for allowable exclusions (Subtract question B13 from question B12): 0"
2019-2020,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total): B15 Completers of programs of less than two years duration (total):
2019-2020,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time: B16 Completers of programs of less than two years within 150 percent of normal time:
2019-2020,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total): CDS-B Page 5 B17 Completers of programs of at least two but less than four years (total):
2019-2020,B,B18,Completers of programs of at least two but less than four-years within 150 percent of,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time: B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2019-2020,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions: B19 Total transfers-out (within three years) to other institutions:
2019-2020,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions: B20 Total transfers to two-year institutions:
2019-2020,B,B21,Total transfers to four-year institutions:,"B21 Total transfers to four-year institutions: 2015 Cohort B21 Total transfers to four-year institutions: Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2018 (or the preceding summer term). The i"
2019-2020,B,B22,For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate,"B22 For the cohort of all full-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered your institution as freshmen in Fall 2018 (or the preceding summer term), what percentage was enrolled at your institution as of the date your institution calculates its official enrollme"
2019-2020,C,C1,"First-time, first-year, (freshmen) students: Provide the number of degree-seeking, first-time, first-","C1 First-time, first-year, (freshmen) students: Provide the number of degree-seeking, first-time, first- year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2019. Include early decision, early action, and students who began studies during summer in this cohort. Applic"
2019-2020,C,C2,Freshman wait-listed students (students who met admission requirements but whose final,"C2 Freshman wait-listed students (students who met admission requirements but whose final admission was contingent on space availability) Yes No C2 Do you have a policy of placing students on a waiting list? x C2 If yes, please answer the questions below for Fall 2019 admissions: C2 Number of qualif"
2019-2020,C,C3,High school completion requirement,C3 High school completion requirement C3 High school diploma is required and GED is x accepted C3 High school diploma is required and GED is not accepted C3 High school diploma or equivalent is not required
2019-2020,C,C4,Does your institution require or recommend a general college-preparatory program for degree-,C4 Does your institution require or recommend a general college-preparatory program for degree- seeking students? C4 Require C4 Recommend C4 Neither require nor recommend x
2019-2020,C,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic,C5 Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2019-2020,C,C6,"Do you have an open admission policy, under which virtually all secondary school graduates or students","C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: C6 Open admission policy as described above for al"
2019-2020,C,C7,"Relative importance of each of the following academic and nonacademic factors in first-time, first-","C7 Relative importance of each of the following academic and nonacademic factors in first-time, first- year, degree-seeking (freshman) admission decisions. C7 Very Important Important Considered Not Considered C7 Academic C7 Rigor of secondary school x record C7 Class rank x C7 Academic GPA x C7 Sta"
2019-2020,C,C8,Entrance exams,C8 Entrance exams Yes No
2019-2020,C,C8A,"Does your institution make use of SAT, ACT, or SAT Subject Test","C8A Does your institution make use of SAT, ACT, or SAT Subject Test scores in admission decisions for first-time, first-year, degree-seeking x applicants? C8A If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for Fall 2021. C8A ADMIS"
2019-2020,C,C8B,"If your institution will make use of the ACT in admission decisions for first-time, first-year, degree-seeking applicants","C8B If your institution will make use of the ACT in admission decisions for first-time, first-year, degree-seeking applicants for Fall 2021, please indicate which ONE of the following applies: (regardless of whether the writing score will be used in the admissions process): C8B ACT with writing requ"
2019-2020,C,C8C,Please indicate how your institution will use the SAT or ACT writing component; check all that apply:,C8C Please indicate how your institution will use the SAT or ACT writing component; check all that apply: C8C SAT essay ACT essay C8C For admission C8C For placement C8C For advising C8C In place of an application essay C8C As a validity check on the application essay C8C No college policy as of now
2019-2020,C,C8D,"In addition, does your institution use applicants' test scores for academic advising?","C8D In addition, does your institution use applicants' test scores for academic advising? C8D Yes No x"
2019-2020,C,C8E,Latest date by which SAT or ACT scores must be received for fall-                      January 31st,C8E Latest date by which SAT or ACT scores must be received for fall- January 31st C8E Latest date by which SAT Subject Test scores must be received for January 31st fall-term admission
2019-2020,C,C8F,"If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students,","C8F If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, C8F https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/standardized-tests.html"
2019-2020,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): C8G SAT C8G ACT C8G SAT Subject Tests C8G AP C8G CLEP C8G Institutional Exam C8G State Exam (specify): Freshman Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, "
2019-2020,C,C9,"Percent and number of first-time, first-year (freshman) students enrolled in Fall 2019 who submitted","C9 Percent and number of first-time, first-year (freshman) students enrolled in Fall 2019 who submitted national standardized (SAT/ACT) test scores. Include information for ALL enrolled, degree-seeking, first-time, first-year (freshman) students who submitted test scores. Do not include partial test"
2019-2020,C,C10,"Percent of all degree-seeking, first-time, first-year (freshman) students who had high school class rank","C10 Percent of all degree-seeking, first-time, first-year (freshman) students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information). C10 Percent in top tenth of high school graduating class C10 "
2019-2020,C,C11,"Percentage of all enrolled, degree-seeking, first-time, first-year (freshman) students who had high school","C11 Percentage of all enrolled, degree-seeking, first-time, first-year (freshman) students who had high school grade-point averages within each of the following ranges (using 4.0 scale). Report information only for those students from whom you collected high school GPA. C11 Percent who had GPA of 4."
2019-2020,C,C12,"Average high school GPA of all degree-seeking, first-time, first-year","C12 Average high school GPA of all degree-seeking, first-time, first-year (freshman) students who submitted GPA: 3.69 C12 Percent of total first-time, first-year (freshman) students who submitted high school GPA: 99.00% CDS-C Page 10 Admission Policies"
2019-2020,C,C13,Application Fee,"C13 Application Fee C13 Yes No C13 Does your institution have an x application fee? C13 Amount of application fee: $80.00 C13 Yes No C13 Can it be waived for applicants x with financial need? C13 If you have an application fee and an on-line application option, C13 Same fee: x C13 Free: C13 Reduced:"
2019-2020,C,C14,Application closing date,C14 Application closing date C14 Yes No C14 Does your institution have an application closing date? x C14 Application closing date (fall): January 1st C14 Priority date:
2019-2020,C,C15,Yes                 No,"C15 Yes No C15 Are first-time, first-year students accepted for terms other than x"
2019-2020,C,C16,Notification to applicants of admission decision sent (fill in one only),C16 Notification to applicants of admission decision sent (fill in one only) C16 On a rolling basis beginning (date): C16 By (date): April 1st C16 Other:
2019-2020,C,C17,Reply policy for admitted applicants (fill in one only),"C17 Reply policy for admitted applicants (fill in one only) C17 Must reply by (date): May 1st C17 No set date: C17 Must reply by May 1 or within _____ weeks if notified thereafter C17 Other: C17 Deadline for housing deposit (MM/DD): 5/1 C17 Amount of housing deposit: 1,000.00 C17 Refundable if stude"
2019-2020,C,C18,Deferred admission,"C18 Deferred admission C18 Yes No C18 Does your institution allow students to postpone enrollment after admission? x C18 If yes, maximum period of postponement: 1 year, 3 for compulsory military or mission work"
2019-2020,C,C19,Early admission of high school students,"C19 Early admission of high school students C19 Yes No C19 Does your institution allow high school students to enroll as full-time, first-time, first-year (freshman) students one year or more before high x school graduation? CDS-C Page 11"
2019-2020,C,C20,Common Application                  Question removed from CDS.            (Initiated during 2006-2007 cycle),C20 Common Application Question removed from CDS. (Initiated during 2006-2007 cycle) Early Decision and Early Action Plans
2019-2020,C,C21,Early Decision,C21 Early Decision C21 Yes No C21 Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks x students to commit to attending if accepted) for first-time
2019-2020,C,C22,Early action,"C22 Early action C22 Yes No C22 Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but do not have to commit to attending your college? x C22 If “yes,” please complete the following: C22 Early action clos"
2019-2020,D,D1,Yes                 No,"D1 Yes No D1 Does your institution enroll transfer students? (If no, x please skip to Section E) D1 If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed x at other colleges/universities?"
2019-2020,D,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","D2 Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2019. D2 Admitted Enrolled Applicants Applicants Applicants D2 Men 3,463 641 350 D2 Women 5,047 1,222 593 D2 Total 8,510 1,863 943 Application for Admission"
2019-2020,D,D3,Indicate terms for which transfers may enroll:,D3 Indicate terms for which transfers may enroll: D3 Fall  D3 Winter D3 Spring  D3 Summer 
2019-2020,D,D4,Yes                 No,"D4 Yes No D4 Must a transfer applicant have a minimum number of credits completed or else must apply as an entering x freshman? D4 If yes, what is the minimum number of credits and the unit 16 of measure?"
2019-2020,D,D5,Indicate all items required of transfer students to apply for admission:,D5 Indicate all items required of transfer students to apply for admission: D5 Required of All Recommended Recommended Required of Some Not Required of All of Some D5 High school transcript x D5 College transcript(s) x D5 Essay or personal x statement D5 Interview x D5 Standardized test scores x D5 
2019-2020,D,D6,If a minimum high school grade point average is required of,"D6 If a minimum high school grade point average is required of transfer applicants, specify (on a 4.0 scale): N/A"
2019-2020,D,D7,If a minimum college grade point average is required of,"D7 If a minimum college grade point average is required of transfer applicants, specify (on a 4.0 scale): N/A"
2019-2020,D,D8,List any other application requirements specific to transfer,D8 List any other application requirements specific to transfer applicants:https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/transfer-
2019-2020,D,D9,"List application priority, closing, notification, and candidate reply dates for transfer students. If applications","D9 List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a check mark in the “Rolling admission” column. D9 Priority Date Closing Date Notification Date Reply Date Rolling Admission D9 F"
2019-2020,D,D10,Yes                 No,"D10 Yes No D10 Does an open admission policy, if reported, apply to x transfer students? CDS-D Page 13"
2019-2020,D,D11,"Describe additional requirements for transfer admission, if applicable:","D11 Describe additional requirements for transfer admission, if applicable: https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/transfer-applicants.html Transfer Credit Policies"
2019-2020,D,D12,Report the lowest grade earned for any course that may be,D12 Report the lowest grade earned for any course that may be transferred for credit:
2019-2020,D,D13,Number             Unit Type,D13 Number Unit Type D13 Maximum number of credits or courses that may be 64 credits transferred from a two-year institution:
2019-2020,D,D14,Number             Unit Type,D14 Number Unit Type D14 Maximum number of credits or courses that may be 64 credits transferred from a four-year institution:
2019-2020,D,D15,Minimum number of credits that transfers must complete at,D15 Minimum number of credits that transfers must complete at your institution to earn an associate degree: N/A
2019-2020,D,D16,Minimum number of credits that transfers must complete at,D16 Minimum number of credits that transfers must complete at your institution to earn a bachelor’s degree: 64.00
2019-2020,D,D17,Describe other transfer credit policies: https://www.nyu.edu/admissions/undergraduate-admissions/how-to-,D17 Describe other transfer credit policies: https://www.nyu.edu/admissions/undergraduate-admissions/how-to- apply/transfer-applicants/transfer-credits.html Military Service Transfer Credit Policies
2019-2020,D,D18,Does your institution accept the following military/veteran transfer credits:,D18 Does your institution accept the following military/veteran transfer credits: Yes No American Council on Education (ACE) College Level Examination Program (CLEP) x DANTES Subject Standardized Tests (DSST)
2019-2020,D,D19,Number             Unit Type,D19 Number Unit Type Maximum number of credits or courses that may be transferred based on military education evaluated by the American Council on Education (ACE):
2019-2020,D,D20,Number             Unit Type,D20 Number Unit Type Maximum number of credits or courses that may be transferred based on Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): Yes No
2019-2020,D,D21,"If yes, please provide the URL where they can be located:","D21 Are the military/veteran credit transfer policies on your website? x D21 If yes, please provide the URL where they can be located: https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/military- applicants.html"
2019-2020,D,D22,Describe other military/veteran transfer credit policies unique to your institution:,D22 Describe other military/veteran transfer credit policies unique to your institution: CDS-D Page 14
2019-2020,E,E1,Special study options: Identify those programs available at your institution. Refer to the glossary,E1 Special study options: Identify those programs available at your institution. Refer to the glossary for definitions. E1 Accelerated program x E1 Cooperative education program x E1 Cross-registration x E1 Distance learning x E1 Double major x E1 Dual enrollment E1 English as a Second Language (ESL
2019-2020,E,E2,This question has been removed from the Common Data Set.,E2 This question has been removed from the Common Data Set.
2019-2020,E,E3,Areas in which all or most students are required to complete some course,E3 Areas in which all or most students are required to complete some course work prior to graduation: E3 Arts/fine arts E3 Computer literacy E3 English (including composition) x E3 Foreign languages x E3 History x E3 Humanities x E3 Mathematics x E3 Philosophy x E3 Sciences (biological or physical) 
