year,section,field,label,raw_preview
2023-2024,D,D17,.    Describe other transfer credit policies:,"D17. Describe other transfer credit policies:  Transfer of credit depends on evaluation of the materials of the course, normally including syllabus, transcript, written work, examinations, and indication of class hours. All decisions are made on a case-by-case basis. An official transcript must be "
2023-2024,D,D18,-D22: Military Service Transfer Credit Policies,D18-D22: Military Service Transfer Credit Policies D18. Does your institution accept the following military/veteran transfer credits: American Council on Education (ACE) ☐ Yes ☒ No College Level Examination Program (CLEP) ☐ Yes ☒ No DANTES Subject Standardized Tests (DSST) ☐ Yes ☒ No
2023-2024,D,D19,. Maximum number of credits or courses that may be transferred based on military education,D19. Maximum number of credits or courses that may be transferred based on military education evaluated by the American Council on Education (ACE): Number: : 0 Unit type: Click or tap here to enter text.
2023-2024,D,D20,. Maximum number of credits or courses that may be transferred based on Department of Defense,D20. Maximum number of credits or courses that may be transferred based on Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): Number: : 0 Unit type Click or tap here to enter text.:
2023-2024,D,D21,. Are the military/veteran credit transfer policies published on your website? ☒ Yes ☐ No,"D21. Are the military/veteran credit transfer policies published on your website? ☒ Yes ☐ No If yes, please provide the URL where the policy can be located:  https://www.swarthmore.edu/admissions-aid/veterans"
2023-2024,D,D22,. Describe other military/veteran transfer credit policies unique to your institution:,"D22. Describe other military/veteran transfer credit policies unique to your institution:  not applicable Swarthmore College Institutional Effectiveness, Research & Assessment--Page 26 of 63"
2023-2024,E,E1,. Special study options: Identify those programs available at your institution. Refer to the glossary,E1. Special study options: Identify those programs available at your institution. Refer to the glossary for definitions. ☒ Accelerated program ☒ Honors program ☐ Comprehensive transition and postsecondary ☒ Independent study program for students with intellectual disabilities ☒ Internships ☒ Cross-r
2023-2024,E,E2,. Has been removed from the CDS.,E2. Has been removed from the CDS.
2023-2024,E,E3,. Areas in which all or most students are required to complete some course work prior to,E3. Areas in which all or most students are required to complete some course work prior to graduation: ☐ Arts/fine arts ☒ Humanities ☐ Computer literacy ☒ Intensive writing ☐ English (including composition) ☐ Mathematics ☒ Foreign languages ☐ Philosophy ☐ History ☒ Sciences (biological or physical) 
2023-2024,F,F1,". Percentages of first-time, first-year degree-seeking students and degree-seeking","F1. Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall 2023 who fit the following categories: NOTE: Study abroad students are EXCLUDED. In Fall 2023, there were 86 students studying abroad. First-time, first- Undergraduates year students "
2023-2024,F,F2,. Activities offered Identify those programs available at your institution.,F2. Activities offered Identify those programs available at your institution. ☒ Campus Ministries ☒ Literary magazine ☒ Radio station ☒ Choral groups ☐ Marching band ☒ Student government ☒ Concert band ☒ Model UN ☒ Student newspaper ☒ Dance ☒ Music ensembles ☒ Student-run film society ☒ Drama/theate
2023-2024,F,F3,. ROTC (program offered in cooperation with Reserve Officers’ Training Corps),"F3. ROTC (program offered in cooperation with Reserve Officers’ Training Corps) Army ROTC is offered: ☐ On campus ☐ At cooperating institution (name): Naval ROTC is offered: Swarthmore College Institutional Effectiveness, Research & Assessment--Page 28 of 63 ☐ Marine Option ☐ On campus ☐ At cooperat"
2023-2024,F,F4,". Housing: Check all types of college-owned, -operated, or -affiliated housing available for","F4. Housing: Check all types of college-owned, -operated, or -affiliated housing available for undergraduates at your institution. ☒ Coed residence halls ☐ Special housing for international students ☒ Men’s residence halls (single gender floors available) ☐ Fraternity/sorority housing ☒ Women’s resi"
2023-2024,G,G0,. Please provide the URL of your institution’s net price calculator:,G0. Please provide the URL of your institution’s net price calculator:  https://www.swarthmore.edu/financial-aid/net-price-calculator Provide 2024-2025 academic year costs of attendance for the following categories that are applicable to your institution. ☐ Check here if your institution's 2024-202
2023-2024,G,G1,". Undergraduate full-time tuition, required fees, food and housing","G1. Undergraduate full-time tuition, required fees, food and housing List the typical tuition, required fees, and food and housing for a full-time undergraduate student for the FULL 2024-2025 academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multipl"
2023-2024,G,G2,. Number of credits per term a student can take for the stated full-time tuition.,"G2. Number of credits per term a student can take for the stated full-time tuition. *Note that these are Swarthmore “course credits,” where 32 courses are required for a Bachelor’s Degree. Minimum: 3 Maximum: 5"
2023-2024,G,G3,". Do tuition and fees vary by year of study (e.g., sophomore, junior, senior)?","G3. Do tuition and fees vary by year of study (e.g., sophomore, junior, senior)? ☐ Yes ☒ No"
2023-2024,G,G4,. Do tuition and fees vary by undergraduate instructional program?,"G4. Do tuition and fees vary by undergraduate instructional program? ☐ Yes ☒ No If yes, what percentage of full-time undergraduates pay more than the tuition and fees reported in G1?  Click or tap here to enter text.%"
2023-2024,G,G5,. Provide the estimated expenses for a typical full-time undergraduate student:,G5. Provide the estimated expenses for a typical full-time undergraduate student: ****NOTE: Figures below reflect 24‐25***** Commuters Commuters Estimated Expenses Residents (living at (not living at home) home) Books and supplies: $760 ** $760 ** $760 ** ** “Books and supplies” expenses reflect aca
2023-2024,G,G6,. Undergraduate per-credit-hour charges (tuition only):,G6. Undergraduate per-credit-hour charges (tuition only): Undergraduate per-credit- Tuition only hour charges PRIVATE INSTITUTIONS: Not Applicable PUBLIC INSTITUTIONS: C or t In-district: PUBLIC INSTITUTIONS: C or t In-state (out-of-district): PUBLIC INSTITUTIONS: C or t Out-of-state: NONRESIDENTS: 
2023-2024,H,H1,-H5: Aid Awarded to Enrolled Undergraduates,"H1-H5: Aid Awarded to Enrolled Undergraduates H1. Enter total dollar amounts awarded to enrolled full-time and less than full-time degree-seeking undergraduates (using the same cohort reported in CDS Question B1, “total degree-seeking” undergraduates) in the following categories.  If the data being"
2023-2024,H,H3,),"H3) ☐ Federal methodology (FM) ☒ Institutional methodology (IM) ☐ Both FM and IM See next page Swarthmore College Institutional Effectiveness, Research & Assessment--Page 35 of 63 NOTES:  Per CDS instructions (see H1 highlighted in blue), students studying abroad are excluded.  As study abroad stu"
2023-2024,H,H2,. Number of Enrolled Students Awarded Aid: List the number of degree-seeking full-time and,H2. Number of Enrolled Students Awarded Aid: List the number of degree-seeking full-time and less-than-full-time undergraduates who applied for and were awarded financial aid from any source.  Aid that is non-need-based but that was used to meet need should be counted as need-based aid.  Numbers s
2023-2024,H,H2A,. Number of Enrolled Students Awarded Non-need-based Scholarships and Grants: List the,H2A. Number of Enrolled Students Awarded Non-need-based Scholarships and Grants: List the number of degree-seeking full-time and less-than-full-time undergraduates who had no financial need and who were awarded institutional non-need-based scholarship or grant aid.  Numbers should reflect the cohor
2023-2024,H,H5,.,"H5. Include:  2023 undergraduate class: all students who started at your institution as first-time students and received a bachelor's degree between July 1, 2022 and June 30, 2023.  Only loans made to students who borrowed while enrolled at your institution.  Co-signed loans. Exclude:  Students "
2023-2024,H,H4,. Provide the number of students in the 2023 undergraduate class who started at your institution,"H4. Provide the number of students in the 2023 undergraduate class who started at your institution as first-time students and received a bachelor's degree between July 1, 2022 and June 30, 2023. Exclude students who transferred into your institution.  374 Swarthmore College Institutional Effectiven"
2023-2024,H,H6,-H7: Aid to Undergraduate Degree-seeking Nonresidents,H6-H7: Aid to Undergraduate Degree-seeking Nonresidents  Report numbers and dollar amounts for the same academic year checked in item H1 H6. Indicate your institution’s policy regarding institutional scholarship and grant aid for undergraduate degree-seeking nonresidents: ☒ Institutional need-based
2023-2024,H,H7,. Check off all financial aid forms nonresident first-year financial aid applicants must submit:,H7. Check off all financial aid forms nonresident first-year financial aid applicants must submit: ☐ Institution’s own financial aid form ☒ CSS Profile ☒ Other: Foreign Tax Return and Income Statement from Employer and International Student’s Financial Aid Application
2023-2024,H,H8,-H11: Process for First-Year Students,H8-H11: Process for First-Year Students H8. Check off all financial aid forms domestic first-year financial aid applicants must submit: ☒ FAFSA ☐ Institution’s own financial aid form ☒ CSS Profile ☒ State aid form ☐ Business/Farm Supplement ☒ Other: Noncustodial PROFILE and Federal Tax Return and W-
2023-2024,H,H9,. Indicate filing dates for first-year students:,H9. Indicate filing dates for first-year students: Does your institution have a deadline for filing required financial aid forms for first-year students? Select “No” if there is no deadline and applications are processed on a rolling basis. ☒ Yes ☐ No Priority date for filing required financial aid 
2023-2024,H,H10,. Indicate notification dates for first-year students (answer a or b):,H10. Indicate notification dates for first-year students (answer a or b): ☒ a. Students notified on or about (date): 4/1/2024 ☐ b. Students notified on a rolling basis. Starting date: Click or tap here to enter text.
2023-2024,H,H11,. Indicate reply dates:,H11. Indicate reply dates: Students must reply by (date): 5/1/2024
2023-2024,H,H12,-H15: Types of Aid Available,H12-H15: Types of Aid Available Please check off all types of aid available to undergraduates at your institution: H12. Loans ☒ Direct Subsidized Stafford Loans ☒ Direct Unsubsidized Stafford Loans ☒ Direct PLUS Loans ☐ Federal Perkins Loans ☐ Federal Nursing Loans ☒ State Loans ☐ College/university
2023-2024,H,H13,. Need Based Scholarships and Grants,H13. Need Based Scholarships and Grants ☒ Federal Pell ☒ SEOG ☒ State scholarships/grants ☒ Private Scholarships ☒ College/university scholarship or grant aid from institutional funds ☐ United Negro College Fund ☐ Federal Nursing Scholarship ☐ Other (specify): Click or tap here to enter text.
2023-2024,H,H14,. Check off criteria used in awarding institutional aid. Check all that apply.,H14. Check off criteria used in awarding institutional aid. Check all that apply. Criteria used in awarding institutional aid Non-Need Based Need-Based Academics ☒ ☐ Alumni affiliation ☐ ☐ Art ☐ ☐ Athletics ☐ ☐ Job skills ☐ ☐ ROTC ☐ Not Applicable Leadership ☒ ☐ Minority status ☐ ☐ Music/drama ☐ ☐ R
2023-2024,H,H15,". If your institution has recently implemented any major financial aid policy, program, or initiative to","H15. If your institution has recently implemented any major financial aid policy, program, or initiative to make your institution more affordable to incoming students such as replacing loans with grants, or waiving costs for families below a certain income level please provide details below:  Click"
2023-2024,I,I1,. Please report the number of instructional faculty members in each category for Fall 2023.,I1. Please report the number of instructional faculty members in each category for Fall 2023. Include faculty who are on your institution’s payroll on the census date your institution uses for IPEDS/AAUP. The following definition of full-time instructional faculty is used by the American Association
2023-2024,I,I2,. Student to Faculty Ratio,"I2. Student to Faculty Ratio Report the Fall 2023 ratio of full-time equivalent students (full-time plus 1/3 part time) to full-time equivalent instructional faculty (full time plus 1/3 part time). In the ratio calculations, exclude both faculty and students in stand-alone graduate or professional p"
2023-2024,I,I3,. Undergraduate Class Size,"I3. Undergraduate Class Size In the table below, please use the following definitions to report information about the size of classes and class sections offered in the Fall 2023 term.  Please include classes that have been moved online in response to the COVID-19 pandemic. Class Sections: A class s"
